"V1","filename","measure","location","sex","age","cause","metric","year","val","upper","lower"
845400,2,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",1993,1.81145671351776,2.05601132992178,1.43546477293815
845424,2,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",1993,2.11704962929247,2.40915067304133,1.77709938642844
845448,2,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",1993,2.24405416987112,2.49435382972231,1.79130181875905
845472,2,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",1993,4.72010179511692,5.30245505456289,3.85020461347143
845481,2,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",1993,2.05856060670527,2.23552207689923,1.70946307020016
845505,2,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",1993,13.5533025979343,16.3569998218245,10.685287489387
852089,2,"Deaths","Global","Both","<5 years","Idiopathic epilepsy","Rate",2020,1.44187384910766,1.77715395344025,1.00387410359142
852107,2,"Deaths","Global","Both","15-19 years","Idiopathic epilepsy","Rate",2020,1.61611338950942,1.92819777136475,1.32589075199809
852131,2,"Deaths","Global","Both","35-39 years","Idiopathic epilepsy","Rate",2020,1.7200412099597,1.90746761565703,1.38819160249274
852155,2,"Deaths","Global","Both","55-59 years","Idiopathic epilepsy","Rate",2020,1.95073555514909,2.12679145311559,1.5224412717232
852179,2,"Deaths","Global","Both","75-79 years","Idiopathic epilepsy","Rate",2020,4.94691445513263,5.3941523134722,4.04085925751585
852188,2,"Deaths","Global","Both","Age-standardized","Idiopathic epilepsy","Rate",2020,1.77307968058722,1.94331265341611,1.48209460541591
852212,2,"Deaths","Global","Both","95+ years","Idiopathic epilepsy","Rate",2020,21.3413883955873,24.7838729475505,15.7005975456556
